pk,caption_text,output,inference_time
3193852234962226659,Strawberries and Cream oatmeal- lighter version!,yes,0.15388178825378418
3193842451215820158,Drop  if this is useful Credit by: unknown,no,0.15181303024291992
3193781175923251196," HEALING WITH FRUIT  Nature's Pharmacy: Unlock the Power of Fruits!  Discover the incredible healing properties of these juicy wonders! From digestive health to emotional support, fruits are like Mother Nature's medicine cabinet.  Here are just a few of the MANY benefits:  Papaya: Ideal for digestive and skin healing, plus it's a natural anti-parasitic. Best enjoyed on an empty stomach!  Blueberries: Supercharge your brain, improve memory, and protect your heart. If you can find them wild, it's a bonus!  Pineapple: Perfect for wound and bruise healing, plus it helps eliminate mucus and aids in post-surgery recovery.  Kiwi: Restore your stomach acid, protect your eyes, and promote respiratory healing.  Apples: They're not just delicious; they're anti-cancerous, detoxify heavy metals, and offer radiation protection. Don't forget to eat the skin for extra benefits!  Cherries: Darker is better! These gems are pain-reducing, nerve-soothing, and a natural sleep aid.  Pomegranate: Boost your oral health, get hormone support, and promote blood-building.  Watermelon: Enhance athletic performance, support muscle recovery, and even provide emotional support. Ready to add a dose of nature's goodness to your life?  Dive into the world of healing with fruit! Which one is your favorite?   If you don't know how to start Smoothie diet properly or do you want to lose possibly 5-12 lbs in the first week alone with Smoothie ?  Join our 21-Days Smoothie Challenge NOW to start a successful weight-loss journey and enjoy a new lifestyle!  LINK IN BIO  . . . . .",No,0.15465974807739258
3193450564255921998,"Made this super healthy lunch today. Veggie plant based sausage spicy patty, avocado hot sauce, chipotle lime avocado Mayo, spicy greens, berries, nuts, vampire killer crunchy kale chips, cauliflower sammy thins for the bun, imitation just egg, apple slices. To drink is Dragon fruit lemon juice! ",yes,0.1538090705871582
3193446320903635410,"Bristol Bay Sockeye Salmon is dietitian approved! recently included it on their list of ""7 Healthy Sam's Club Frozen Foods to Buy, According to Dietitians."" Read more in our bio under ""More Links""",yes,0.1587381362915039
3193389490475942506,"Trying to lose weight after 40 can be extremely challenging, but only if you dont know what youre doing . It can seem as if you are doing everything possible to shed the pounds, yet you make little progress or none. . The good news is that you can lose weight after 40! . I help clients do it every day! . It is common for people to tell you that weight gain after 40 is just a natural part of life. . When in fact, this is simply not true. . In my Metabolic Weight Loss Method, I work with you to getting to the root cause of why you are putting on the pounds. . I will tell you my proven approach to losing weight after 40, the challenges to weight loss, and the steps you can take. . Its not about vanity, there are health consequences to excess weight. . Losing excess weight, and especially belly fat can decrease your risk of a variety of health issues, including: Prediabetes Type 2 Diabetes Fatty liver Dementia High blood pressure Heart disease and stroke Kidney Disease Cancer Sleep apnea Chronic fatigue Thyroid issues Premature aging and early death The essential factor to remember is that weight loss is crucial for optimal health and to help you feel your best! . After working with thousands of clients and helping them meet their weight loss goals, I created my Metabolic Weight Loss Method to get you on track towards achieving your optimal weight. . Send me a  in my DMs to learn more! . Em . . .",No,0.15643692016601562
3193130390347034130,Its paying off ,yes,0.1542971134185791
3192994891897804459,"Simple and quick lunch inspo! I am not a cook. Dont really like it tbh, so when Im working from home, I tend to grab a sandwich and crisps. But this! Took ten minutes to make, tasted brilliant and kept me full till tea time. Wash and prick a sweet potato and put it in the microwave for five minutes. Test if its soft & turn over for another five minutes if not. Whilst thats on, wack some salad on a plate - I did one of those washed and ready bags with tomato, cucumber, spring onion and a drizzle of balsamic vinegar on top. Put some cottage cheese on the cooked sweet potato and there you have it! Told you it was easy and quick! I havent yet learned how to tot up the calories and protein in meals like this, but I will soon! ",Yes,0.15939092636108398
3192479143743652128,This is a throw back picture to our Danielle (@pratumbotanicals) sandwich from when we did our pop up in the old Even then we were getting our bread from and some meat from . Its nice to look back at the origins of how things got started for Pasture and how lucky we have been to build some great relationships with amazing farmers and the community! Summers end is always a beautiful bounty that butchers and chefs love alike  .,Yes,0.15621709823608398
3192464479509754113,"Fitness at ""60"" be like..... Setting goals and taking names Aging like a beast ",No,0.15465617179870605
