pk,caption_text,output,inference_time
3186692025022146034,Healthy homemade pumpkin spice creamer!,yes,0.1494739055633545
3186320686506879678,Great for crunchy chip cravings chipotle bbq,yes,0.15372538566589355
3186248903490533728,"1.Youth management system machine effect  Internal fat management: improve fatty liver, Posterior cervical bulge, and obese people. Endocrine management: regulate endocrine, improve uterine cold and gynecology. Body temperature management: increase the basal body temperature of the human body and regulate the acidic body. Pain management: relieve pain, purify and metabolize blood and lymphatic circulation. Immunity management: increase the body's basal body temperature and enhance immunity.  Aging management: activate body cells and activate tissue cells. WhatsApp:",no,0.15933990478515625
3186100192877983441,"With a little inclusion of lean meat, you're not necessarily ""wrong."" Protein is indeed sold in alternate forms. However, ratio is important for a point. ",yes,0.15427613258361816
3185122513095760816,My evening refreshment ,yes,0.1692638397216797
3184452480809696008,"SBN FODS ****Desi Khand**** Ditch Sugar For Healthy  Desi Khand  Washed with Pure Cows Milk and kneaded with Pure Cow Ghee.  Made from Pure Sugarcane and is highly nutritious and healthy.  It can take place of harmful chemical induced Sugar. Instead of Sugar use khand in ur Tea, Coffee, Desserts etc. Connect with us Wa.me/919910406969 Wa.me/918800102030",Yes,0.15629315376281738
3184419754441005669,"Happy Labor Day! Heres a super simple idea for your Labor Day BBQ thats quick & easy with some healthy substitutions  Im going back to my Midwest roots with this one.  Although it doesnt have Jell-o or whipped topping, it technically can still be considered a salad by Midwest standards since it has pasta in it  But I threw in a twist by substituting the standard enriched white spaghetti with chickpea spaghetti instead, which adds protein and nutrients. I also chose Greek Dressing & Marinade, instead of the common shelf Italian dressing, for its stellar clean ingredients (see photo These substitutions will keep you satiated longer & help stabilize that post meal blood sugar crash. Cook spaghetti according to package directions. Rinse with cold water. Add dressing to the amount of your liking (I used about 2/3 of the bottle). Add in whatever veggies you have on hand! I used cherry tomatoes  black olives, bell peppers  cucumber  artichoke hearts, avocado  & Parmesan cheese  You could even add chicken or salmon to make this an entree. Stores great to use as leftovers throughout the week. I hope you are enjoying the last unofficial weekend of summer! ",yes,0.1560840606689453
3181106869364134237,"One of my favorite substitutes...Greek yogurt! I use Greek yogurt in all sorts of stuff...by itself, with toppings, in smoothies, on my hot cereal, as fruit dip. But I also like to use it in place of sour cream. I've used it on baked potatoes and in taco salad. And I use it in veggie dip or dressing. You can make your own ranch by adding a packet of ranch seasoning to your yogurt or add your own ranch seasoning to avoid any weird additives and preservatives that they put in the ranch seasoning packets. We actually used yogurt for the fruit and veggie dips at the baby shower. For the veggies we used plain Greek yogurt with ranch seasoning and for the fruit we used vanilla Greek yogurt for 1 dip and vanilla Greek yogurt and strawberry preserves for the other. How do you like your yogurt?",No,0.1577291488647461
3176386551957367616,"A simple side to elevate your everyday meals or a fabulous pure for foodie children in the making... you decide! I stumbled upon this delicious and oh-so-simple pure when trying to make something a little more interesting for Oliver... and then decided to put it on the menu myself! It's lower GI than mashed potato and contains antioxidant-rich turmeric and immune-supporting garlic. So, it's practically medicinal, and damn tasty too. If you give it a try, as always, let us know your thoughts! May your every spoonful be more nourishing and delicious than the last! Find the link in our bio or go to",yes,0.15619707107543945
3173165389675118635,Skinny Shrimp Parm  Macros include a serving of whole wheat pasta 55 Calories 38 Carbs 15 Fat 55 Protein,yes,0.15709710121154785
